constituency,district
Badnapur,Jalna
Bhokardan,Jalna
Gansavangi,Jalna
Jalna,Jalna
Partur,Jalna
Chandgad,Kolhapur
Hatkanangle,Kolhapur
Ichalkaranji,Kolhapur
Kagal,Kolhapur
Karvir,Kolhapur
Kolhapur North,Kolhapur
Kolhapur South,Kolhapur
Radhanagari,Kolhapur
Shahuwadi,Kolhapur
Shirol,Kolhapur
Ahmedpur,Latur
Ausa,Latur
Latur City,Latur
Latur Rural,Latur
Nilanga,Latur
Udgir,Latur
Byculla,Mumbai City
Colaba,Mumbai City
Dharavi,Mumbai City
Mahim,Mumbai City
Malabar Hill,Mumbai City
Mumbadevi,Mumbai City
Shivadi,Mumbai City
Sion Koliwada,Mumbai City
Wadala,Mumbai City
Worli,Mumbai City
Andheri  West,Mumbai Suburban
Andheri East,Mumbai Suburban
Anushakti Nagar,Mumbai Suburban
Bhandup  West,Mumbai Suburban
Borivali,Mumbai Suburban
Chandivali,Mumbai Suburban
Charkop,Mumbai Suburban
Chembur,Mumbai Suburban
Dhaisar,Mumbai Suburban
Dindoshi,Mumbai Suburban
Ghatkopar  West,Mumbai Suburban
Ghatkopar East,Mumbai Suburban
Goregaon,Mumbai Suburban
Jogeshwari East,Mumbai Suburban
Kalina,Mumbai Suburban
Kandivali East,Mumbai Suburban
Kurla,Mumbai Suburban
Magathane,Mumbai Suburban
Malad  West,Mumbai Suburban
Mankhurd Shivajinagar,Mumbai Suburban
Mulund,Mumbai Suburban
Vandre  West,Mumbai Suburban
Vandre East,Mumbai Suburban
Varsova,Mumbai Suburban
Vikhroli,Mumbai Suburban
Vile Parle,Mumbai Suburban
Hingna,Nagpur
Kamthi,Nagpur
Katol,Nagpur
Nagpur Central,Nagpur
Nagpur East,Nagpur
Nagpur North (sc),Nagpur
Nagpur South,Nagpur
Nagpur South West,Nagpur
Nagpur West,Nagpur
Ramtek,Nagpur
Savner,Nagpur
Umred,Nagpur
Bhokar,Nanded
Deglur,Nanded
Hadgaon,Nanded
Kinwat,Nanded
Loha,Nanded
Mukhed,Nanded
Naigaon,Nanded
Nanded North,Nanded
Nanded South,Nanded
Akkalkuwa,Nandurabar
Nandurbar,Nandurabar
Nawapur,Nandurabar
Shahada,Nandurabar
Baglan,Nashik
Chandwad,Nashik
Deolali,Nashik
Dindori,Nashik
Igatpuri,Nashik
Kalwan,Nashik
Malegaon,Nashik
Nandgaon,Nashik
Nashik  West,Nashik
Nashik,Nashik
Nashik East,Nashik
Niphad,Nashik
Sinnar,Nashik
Yevla,Nashik
Omerga,Osmanabad
Osmanabad,Osmanabad
Paranda,Osmanabad
Tuljapur,Osmanabad
Boisar,Palghar
Dahanu,Palghar
Nalasopara,Palghar
Palghar,Palghar
Vasai,Palghar
Vekramgrth,Palghar
Gangakhed,Parbhani
Jintur,Parbhani
Parbhani,Parbhani
Pathri,Parbhani
Ambegaon,Pune
Baramati,Pune
Bhor,Pune
Bhosari,Pune
Chinchwad,Pune
Daund,Pune
Hadapsar,Pune
Indapur,Pune
Junnar,Pune
Kasba Peth,Pune
Khadakwasala,Pune
Khed Alandi,Pune
Kothrud,Pune
Maval,Pune
Parvati,Pune
Pimpri,Pune
Pune Cantonment (sc),Pune
Purandar,Pune
Shirur,Pune
Shivajinagar,Pune
Vadgaon Sheri,Pune
Alibag,Raigad
Karjat,Raigad
Mahad,Raigad
Panvel,Raigad
Pen,Raigad
Shrivardhan,Raigad
Uran,Raigad
Chiplun,Ratnagiri
Dapoli,Ratnagiri
Guhagar,Ratnagiri
Rajapur,Ratnagiri
Ratnagiri,Ratnagiri
Islampur,Sangli
Jat,Sangli
Khanpur,Sangli
Miraj,Sangli
Paluskadegaon,Sangli
Sangli,Sangli
Shirala,Sangli
Tasgaonkavathe Mahankal,Sangli
Karad North,Satara
Karad South,Satara
Koregaon,Satara
Man,Satara
Patan,Satara
Phaltan,Satara
Satara,Satara
Wai,Satara
Kankavli,Sindhudurg
Kudal,Sindhudurg
Sawantwadi,Sindhudurg
Akkalkot,Solapur
Barshi,Solapur
Karmala,Solapur
Madha,Solapur
Malshiran,Solapur
Mohol,Solapur
Pandharpur,Solapur
Sangola,Solapur
Solapur City Central,Solapur
Solapur City North,Solapur
Solapur South,Solapur
Airoli,Thane
Ambarnath,Thane
Belapur,Thane
Bhiwandi  West,Thane
Bhiwandi East,Thane
Bhiwandi Rural (st),Thane
Dombivali,Thane
Kalyan  West,Thane
Kalyan East,Thane
Kalyan Rural,Thane
Kopripachpakhadi,Thane
Meera Bhayandar,Thane
Mumbrakalwa,Thane
Murbad,Thane
Ovala Majiwada,Thane
Shahapur,Thane
Thane,Thane
Ulhasnagar,Thane
Arvi,Wardha
Deoli,Wardha
Hinganghat,Wardha
Wardha,Wardha
Karanja,Washim
Risod,Washim
Washim,Washim
Arni,Yavatmal
Digras,Yavatmal
Pusad,Yavatmal
Ralegaon,Yavatmal
Umarkhed,Yavatmal
Wani,Yavatmal
Yavatmal,Yavatmal
