USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
AK	02050	01419966	Bethel Census Area	17013	5919	105075822708	12779523593	   40570.004	    4934.202	 60.928916	-160.153350                                                                               
AK	02060	01419967	Bristol Bay Borough	997	969	1304947207	993830067	     503.843	     383.720	 58.731372	-156.986612                                                                                     
AK	02068	01419988	Denali Borough	1826	1771	33026000538	66068790	   12751.411	      25.509	 63.682732	-150.026719                                                                                        
AK	02070	01419968	Dillingham Census Area	4847	2427	48092912615	6077223732	   18568.778	    2346.429	 59.824816	-158.602233                                                                              
AK	02090	01419969	Fairbanks North Star Borough	97581	41783	19005874393	273188119	    7338.209	     105.479	 64.690832	-146.599867                                                                       
AK	02100	01419970	Haines Borough	2508	1631	6005146534	1053874968	    2318.600	     406.903	 59.099905	-135.578102                                                                                       
AK	02105	02371430	Hoonah-Angoon Census Area	2150	1771	19489439091	8778085294	    7524.915	    3389.238	 58.076434	-135.185100                                                                           
AK	02110	01419971	Juneau City and Borough	31275	13055	6997968643	1429575134	    2701.931	     551.962	 58.372700	-134.178781                                                                            
AK	02122	01419972	Kenai Peninsula Borough	55400	30578	41634915224	22473290427	   16075.331	    8676.986	 60.366373	-152.321973                                                                          
AK	02130	01419973	Ketchikan Gateway Borough	13477	6166	12583232994	4649414062	    4858.414	    1795.149	 55.449938	-131.106685                                                                          
AK	02150	01419974	Kodiak Island Borough	13592	5303	16963331761	14173062281	    6549.579	    5472.250	 57.553611	-153.630911                                                                             
AK	02164	01419975	Lake and Peninsula Borough	1631	1502	61258419419	24010457489	   23652.009	    9270.490	 58.205065	-156.705188                                                                         
AK	02170	01419976	Matanuska-Susitna Borough	88995	41329	63734160198	1682737402	   24607.898	     649.709	 62.182174	-149.407974                                                                         
AK	02180	01419977	Nome Census Area	9492	4008	59470685832	13768011766	   22961.761	    5315.859	 64.783686	-164.188912                                                                                   
AK	02185	01419978	North Slope Borough	9430	2500	229720054439	15801179317	   88695.413	    6100.870	 69.449343	-153.472830                                                                               
AK	02188	01419979	Northwest Arctic Borough	7523	2707	92132564828	13406688095	   35572.584	    5176.351	 67.005066	-160.021086                                                                           
AK	02195	02516404	Petersburg Census Area	3815	1994	8500293927	6221367848	    3281.982	    2402.084	 56.639612	-133.527996                                                                               
AK	02198	01419980	Prince of Wales-Hyder Census Area	5559	2992	10160193695	9739418122	    3922.873	    3760.411	 55.415683	-132.875734                                                                   
AK	02220	01419981	Sitka City and Borough	8881	4102	7434143788	5027404028	    2870.339	    1941.092	 57.142508	-135.332624                                                                               
AK	02230	02339479	Skagway Municipality	968	636	1171515798	30331334	     452.325	      11.711	 59.575097	-135.335418                                                                                     
AK	02240	01419983	Southeast Fairbanks Census Area	7029	3915	64150915284	752795246	   24768.808	     290.656	 63.864997	-143.218628                                                                      
AK	02261	01419984	Valdez-Cordova Census Area	9636	6102	88680877051	15799689879	   34239.880	    6100.295	 61.349840	-145.023141                                                                         
AK	02270	01419985	Wade Hampton Census Area	7459	2183	44240705695	6711999401	   17081.433	    2591.518	 62.283174	-163.190950                                                                            
AK	02275	02418874	Wrangell City and Borough	2369	1428	6582411037	2384276261	    2541.483	     920.574	 56.279121	-132.040325                                                                            
AK	02282	01419986	Yakutat City and Borough	662	450	19812002035	4696710283	    7649.457	    1813.410	 59.999083	-140.239593                                                                              
AK	02290	01419987	Yukon-Koyukuk Census Area	5588	4038	376855656455	5956563857	  145504.789	    2299.842	 65.376131	-151.576855                                                                          
AZ	04001	00025441	Apache County	71518	32514	29001443825	54175788	   11197.521	      20.917	 35.385845	-109.493747                                                                                       
AZ	04003	00025442	Cochise County	131346	59041	15969063883	137025224	    6165.690	      52.906	 31.881793	-109.754120                                                                                    
AZ	04005	00025443	Coconino County	134421	63321	48222689085	109964090	   18618.885	      42.457	 35.829692	-111.773728                                                                                   
AZ	04007	00040471	Gila County	53597	32698	12322988718	97111978	    4757.933	      37.495	 33.789618	-110.811870                                                                                         
AZ	04009	00025444	Graham County	37220	12980	11972471194	47833765	    4622.597	      18.469	 32.931828	-109.878310                                                                                       
AZ	04011	00042807	Greenlee County	8437	4372	4773673819	13745365	    1843.126	       5.307	 33.238872	-109.242323                                                                                        
AZ	04012	00043540	La Paz County	20489	16049	11653984341	36581791	    4499.629	      14.124	 33.727625	-114.038793                                                                                       
AZ	04013	00037026	Maricopa County	3817117	1639279	23828260196	62795719	    9200.143	      24.246	 33.346541	-112.495534                                                                                 
AZ	04015	00025445	Mohave County	200186	110911	34475546921	387371395	   13311.084	     149.565	 35.717705	-113.749689                                                                                    
AZ	04017	00042808	Navajo County	107449	56938	25771473007	24078377	    9950.422	       9.297	 35.390934	-110.320908                                                                                      
AZ	04019	00025446	Pima County	980263	440909	23794311939	5337525	    9187.036	       2.061	 32.128237	-111.783018                                                                                        
AZ	04021	00025447	Pinal County	375770	159222	13896869603	22331525	    5365.612	       8.622	 32.918910	-111.367257                                                                                      
AZ	04023	00040472	Santa Cruz County	47420	18010	3203598541	3088171	    1236.916	       1.192	 31.525904	-110.845190                                                                                     
AZ	04025	00042809	Yavapai County	211033	110432	21039764981	11501683	    8123.499	       4.441	 34.630044	-112.573745                                                                                    
AZ	04027	00023901	Yuma County	195751	87850	14281174361	13253868	    5513.992	       5.117	 32.773942	-113.910905                                                                                        
AR	05001	00063755	Arkansas County	19019	9436	2560902522	116495598	     988.770	      44.979	 34.289573	 -91.376547                                                                                      
AR	05003	00063756	Ashley County	21853	10137	2396641905	39310651	     925.349	      15.178	 33.190835	 -91.772267                                                                                        
AR	05005	00069895	Baxter County	41513	22580	1435587546	83997217	     554.283	      32.432	 36.280710	 -92.330438                                                                                        
AR	05007	00069896	Benton County	221339	93084	2194644508	94662461	     847.357	      36.549	 36.337825	 -94.256187                                                                                       
AR	05009	00069897	Boone County	36903	16827	1528692190	30044428	     590.231	      11.600	 36.304308	 -93.079204                                                                                         
AR	05011	00063757	Bradley County	11508	5860	1681500473	9546870	     649.231	       3.686	 33.463819	 -92.168164                                                                                         
AR	05013	00063758	Calhoun County	5368	2897	1628017155	9926138	     628.581	       3.833	 33.560460	 -92.513879                                                                                          
AR	05015	00066975	Carroll County	27446	13559	1631917381	22566276	     630.087	       8.713	 36.337774	 -93.541663                                                                                       
AR	05017	00069160	Chicot County	11800	5421	1668740125	120391665	     644.304	      46.483	 33.267139	 -91.297158                                                                                        
AR	05019	00066845	Clark County	22995	10385	2243121932	43395997	     866.074	      16.755	 34.053312	 -93.176205                                                                                         
AR	05021	00063759	Clay County	16083	8031	1656206452	5105957	     639.465	       1.971	 36.367302	 -90.418704                                                                                            
AR	05023	00066983	Cleburne County	25970	15826	1434055831	99015207	     553.692	      38.230	 35.566288	 -92.059974                                                                                      
AR	05025	00063760	Cleveland County	8689	4064	1548252069	2500394	     597.783	       0.965	 33.893201	 -92.188714                                                                                        
AR	05027	00063761	Columbia County	24552	11596	1984066985	1813507	     766.053	       0.700	 33.215070	 -93.226901                                                                                       
AR	05029	00066846	Conway County	21273	9720	1430319825	37342580	     552.250	      14.418	 35.265702	 -92.689248                                                                                         
AR	05031	00066847	Craighead County	96443	40515	1831656075	14162379	     707.206	       5.468	 35.828268	 -90.630411                                                                                     
AR	05033	00069161	Crawford County	61948	26115	1536106675	28873990	     593.094	      11.148	 35.583041	 -94.236224                                                                                      
AR	05035	00069162	Crittenden County	50902	21489	1579271661	68938875	     609.760	      26.617	 35.211878	 -90.315331                                                                                    
AR	05037	00066848	Cross County	17870	7853	1596418434	15348594	     616.381	       5.926	 35.291259	 -90.773894                                                                                          
AR	05039	00066849	Dallas County	8116	4305	1728522942	1864048	     667.386	       0.720	 33.967823	 -92.653999                                                                                           
AR	05041	00066850	Desha County	13008	6261	1989504302	133058424	     768.152	      51.374	 33.828748	 -91.244427                                                                                         
AR	05043	00066851	Drew County	18509	8408	2145431293	18920696	     828.356	       7.305	 33.587242	 -91.722778                                                                                           
AR	05045	00066852	Faulkner County	113237	46612	1678012685	41927331	     647.884	      16.188	 35.146356	 -92.324654                                                                                     
AR	05047	00066853	Franklin County	18125	8021	1576932379	27933924	     608.857	      10.785	 35.508573	 -93.887672                                                                                       
AR	05049	00066854	Fulton County	12245	6778	1601114128	5527461	     618.194	       2.134	 36.383443	 -91.819239                                                                                          
AR	05051	00066855	Garland County	96024	50548	1755444878	147213948	     677.781	      56.840	 34.578861	 -93.146915                                                                                      
AR	05053	00066856	Grant County	17853	7758	1636376859	2904466	     631.809	       1.121	 34.288063	 -92.423984                                                                                           
AR	05055	00066857	Greene County	42090	17892	1496233476	4826525	     577.699	       1.864	 36.119922	 -90.565241                                                                                         
AR	05057	00066858	Hempstead County	22609	10419	1884267810	35372390	     727.520	      13.657	 33.728611	 -93.665809                                                                                     
AR	05059	00066859	Hot Spring County	32923	14332	1593367055	18052939	     615.202	       6.970	 34.315177	 -92.944147                                                                                    
AR	05061	00066872	Howard County	13789	6238	1524346632	17509479	     588.554	       6.760	 34.083179	 -93.990988                                                                                         
AR	05063	00069163	Independence County	36647	16187	1978628920	19593957	     763.953	       7.565	 35.737499	 -91.559942                                                                                  
AR	05065	00066860	Izard County	13696	7232	1503686209	8913023	     580.577	       3.441	 36.094879	 -91.913625                                                                                           
AR	05067	00066861	Jackson County	17997	7601	1641892684	19587909	     633.938	       7.563	 35.596605	 -91.223178                                                                                        
AR	05069	00066862	Jefferson County	77435	33006	2255220650	111447666	     870.746	      43.030	 34.277695	 -91.930701                                                                                    
AR	05071	00066863	Johnson County	25540	11311	1708883157	59415544	     659.804	      22.940	 35.573359	 -93.466322                                                                                       
AR	05073	00066864	Lafayette County	7645	4353	1368208312	43539379	     528.268	      16.811	 33.240660	 -93.611643                                                                                       
AR	05075	00066865	Lawrence County	17415	8000	1521913098	12244885	     587.614	       4.728	 36.041098	 -91.101153                                                                                       
AR	05077	00066866	Lee County	10424	4356	1560780566	43722296	     602.621	      16.881	 34.779750	 -90.779288                                                                                            
AR	05079	00066873	Lincoln County	14134	4860	1454321132	27631033	     561.517	      10.668	 33.957665	 -91.727624                                                                                        
AR	05081	00066874	Little River County	13171	6460	1378529805	84207522	     532.253	      32.513	 33.699497	 -94.229774                                                                                   
AR	05083	00082850	Logan County	22353	10108	1834034439	60696140	     708.125	      23.435	 35.218549	 -93.720563                                                                                         
AR	05085	00069164	Lonoke County	68356	27239	1996176993	83170220	     770.728	      32.112	 34.755114	 -91.894132                                                                                        
AR	05087	00069165	Madison County	15717	7481	2160711386	7316240	     834.255	       2.825	 36.012545	 -93.724053                                                                                         
AR	05089	00069898	Marion County	16653	9354	1546245256	112174577	     597.009	      43.311	 36.266656	 -92.678588                                                                                        
AR	05091	00069166	Miller County	43462	19281	1620239736	31263840	     625.578	      12.071	 33.305505	 -93.901509                                                                                        
AR	05093	00069899	Mississippi County	46480	20459	2332475973	49826380	     900.574	      19.238	 35.766943	 -90.052209                                                                                   
AR	05095	00069167	Monroe County	8149	4455	1572439014	36715157	     607.122	      14.176	 34.679513	 -91.203314                                                                                          
AR	05097	00069168	Montgomery County	9487	5763	2019879948	52859758	     779.880	      20.409	 34.545652	 -93.664147                                                                                      
AR	05099	00069169	Nevada County	8997	4563	1600189595	7257804	     617.837	       2.802	 33.666699	 -93.305072                                                                                           
AR	05101	00069900	Newton County	8330	4664	2126110054	5931821	     820.896	       2.290	 35.910062	 -93.215084                                                                                           
AR	05103	00069170	Ouachita County	26120	13121	1897899921	18050486	     732.783	       6.969	 33.591158	 -92.878418                                                                                      
AR	05105	00069171	Perry County	10445	4907	1428125735	23648787	     551.402	       9.131	 34.946363	 -92.926877                                                                                          
AR	05107	00069172	Phillips County	21757	10126	1801758335	82056090	     695.663	      31.682	 34.425842	 -90.848386                                                                                      
AR	05109	00069173	Pike County	11291	5580	1555592368	34995957	     600.618	      13.512	 34.158191	 -93.658659                                                                                           
AR	05111	00069174	Poinsett County	24583	10923	1964217602	13522889	     758.389	       5.221	 35.568981	 -90.680595                                                                                      
AR	05113	00069175	Polk County	20662	10002	2221377955	12387478	     857.679	       4.783	 34.490915	 -94.230884                                                                                          
AR	05115	00069901	Pope County	61754	25551	2104490517	47206953	     812.548	      18.227	 35.455297	 -93.031535                                                                                          
AR	05117	00069176	Prairie County	8715	4503	1678203880	71628651	     647.958	      27.656	 34.828225	 -91.557199                                                                                         
AR	05119	00069177	Pulaski County	382748	175555	1967777404	124061704	     759.763	      47.900	 34.773988	 -92.316515                                                                                    
AR	05121	00069178	Randolph County	17969	8513	1689166005	9968447	     652.191	       3.849	 36.341298	 -91.028441                                                                                        
AR	05123	00083331	St. Francis County	28258	10903	1644048592	20050191	     634.771	       7.741	 35.014438	 -90.742199                                                                                   
AR	05125	00067102	Saline County	107118	44811	1874124567	17835823	     723.604	       6.886	 34.648525	 -92.674463                                                                                       
AR	05127	00069179	Scott County	11233	5193	2311098364	14901123	     892.320	       5.753	 34.858869	 -94.063641                                                                                          
AR	05129	00069180	Searcy County	8195	4900	1725176918	6256956	     666.095	       2.416	 35.909660	 -92.699351                                                                                           
AR	05131	00069181	Sebastian County	125744	54651	1377643728	36905742	     531.911	      14.249	 35.196981	 -94.274989                                                                                    
AR	05133	00069182	Sevier County	17058	6887	1463670417	41830997	     565.126	      16.151	 33.994608	 -94.243290                                                                                         
AR	05135	00069183	Sharp County	17264	9822	1565489388	5172578	     604.439	       1.997	 36.173399	 -91.471069                                                                                           
AR	05137	00069902	Stone County	12394	6712	1570581314	7838986	     606.405	       3.027	 35.856989	 -92.140494                                                                                           
AR	05139	00069903	Union County	41639	19653	2691552718	41401571	    1039.214	      15.985	 33.168219	 -92.598145                                                                                         
AR	05141	00069904	Van Buren County	17295	10345	1834082139	41805938	     708.143	      16.141	 35.582959	 -92.515977                                                                                     
AR	05143	00069905	Washington County	203065	87808	2439681852	27046999	     941.966	      10.443	 35.971209	 -94.218417                                                                                   
AR	05145	00069906	White County	77076	32488	2680832626	18311035	    1035.075	       7.070	 35.254722	 -91.753158                                                                                         
AR	05147	00069907	Woodruff County	7260	3893	1519780744	18707994	     586.791	       7.223	 35.189071	 -91.244418                                                                                        
AR	05149	00069908	Yell County	22185	9752	2408647209	48880316	     929.984	      18.873	 34.997713	 -93.408303                                                                                           
CA	06001	01675839	Alameda County	1510271	582549	1914046110	213184643	     739.017	      82.311	 37.648081	-121.913304                                                                                   
CA	06003	01675840	Alpine County	1175	1760	1912271907	12557251	     738.332	       4.848	 38.617610	-119.798999                                                                                          
CA	06005	01675841	Amador County	38091	18032	1539962991	29456575	     594.583	      11.373	 38.443550	-120.653856                                                                                        
CA	06007	01675842	Butte County	220000	95835	4238423238	105325758	    1636.464	      40.667	 39.665959	-121.601919                                                                                       
CA	06009	01675885	Calaveras County	45578	27925	2641819725	43810420	    1020.012	      16.915	 38.187844	-120.555115                                                                                     
CA	06011	01675902	Colusa County	21419	7883	2980379369	14581020	    1150.731	       5.630	 39.177739	-122.237563                                                                                         
CA	06013	01675903	Contra Costa County	1049025	400263	1854268836	227485306	     715.937	      87.833	 37.919479	-121.951543                                                                              
CA	06015	01682074	Del Norte County	28610	11186	2606493856	578525663	    1006.373	     223.370	 41.749903	-123.980998                                                                                    
CA	06017	00277273	El Dorado County	181058	88159	4423396606	203243236	    1707.883	      78.473	 38.785532	-120.534398                                                                                   
CA	06019	00277274	Fresno County	930450	315531	15431126407	137815999	    5957.991	      53.211	 36.761006	-119.655019                                                                                    
CA	06021	00277275	Glenn County	28122	10778	3403106702	33750196	    1313.947	      13.031	 39.602546	-122.401700                                                                                         
CA	06023	01681908	Humboldt County	134623	61559	9241044673	1254256396	    3567.987	     484.271	 40.706673	-123.925818                                                                                   
CA	06025	00277277	Imperial County	174528	56067	10817352524	790247942	    4176.603	     305.116	 33.040816	-115.355395                                                                                   
CA	06027	01804637	Inyo County	18546	9478	26368354217	119208057	   10180.879	      46.026	 36.561977	-117.403927                                                                                         
CA	06029	02054176	Kern County	839631	284367	21061565098	79577235	    8131.916	      30.725	 35.346629	-118.729506                                                                                       
CA	06031	00277280	Kings County	152982	43867	3598582308	5468555	    1389.420	       2.111	 36.072478	-119.815530                                                                                         
CA	06033	00277281	Lake County	64665	35492	3254227528	188962335	    1256.464	      72.959	 39.094802	-122.746757                                                                                         
CA	06035	01693324	Lassen County	34895	12710	11761612172	463440721	    4541.184	     178.935	 40.721089	-120.629931                                                                                      
CA	06037	00277283	Los Angeles County	9818605	3445076	10509869649	1795012906	    4057.884	     693.058	 34.196398	-118.261862                                                                            
CA	06039	00277284	Madera County	150865	49140	5534982985	41957504	    2137.069	      16.200	 37.210039	-119.749852                                                                                       
CA	06041	00277285	Marin County	252409	111214	1347585521	797420433	     520.306	     307.886	 38.051817	-122.745974                                                                                      
CA	06043	00277286	Mariposa County	18251	10188	3752416976	36271400	    1448.816	      14.004	 37.570033	-119.912860                                                                                      
CA	06045	00277287	Mendocino County	87841	40323	9081386386	962952644	    3506.343	     371.798	 39.432388	-123.442881                                                                                    
CA	06047	00277288	Merced County	255793	83698	5011554741	112760487	    1934.972	      43.537	 37.194806	-120.722802                                                                                      
CA	06049	00277289	Modoc County	9686	5192	10146977156	739774453	    3917.770	     285.629	 41.592918	-120.718370                                                                                         
CA	06051	00277290	Mono County	14202	13912	7896827391	214695487	    3048.982	      82.894	 37.915836	-118.875167                                                                                         
CA	06053	00277291	Monterey County	415057	139048	8496702738	1270714482	    3280.595	     490.626	 36.240107	-121.315573                                                                                  
CA	06055	00277292	Napa County	136484	54759	1938247338	104169342	     748.362	      40.220	 38.507351	-122.325995                                                                                        
CA	06057	01682927	Nevada County	98764	52590	2480616988	41514942	     957.772	      16.029	 39.295191	-120.773446                                                                                        
CA	06059	00277294	Orange County	3010232	1048907	2047561084	407916814	     790.568	     157.498	 33.675687	-117.777207                                                                                   
CA	06061	00277295	Placer County	348432	152648	3644136017	247205361	    1407.009	      95.447	 39.062032	-120.722718                                                                                     
CA	06063	00277296	Plumas County	20007	15566	6612350713	156395470	    2553.043	      60.385	 39.995170	-120.829515                                                                                       
CA	06065	00277297	Riverside County	2189641	800707	18664696661	251073334	    7206.480	      96.940	 33.729828	-116.002239                                                                                
CA	06067	00277298	Sacramento County	1418788	555932	2498415670	76077248	     964.644	      29.374	 38.450011	-121.340441                                                                                 
CA	06069	00277299	San Benito County	55269	17870	3596742302	4555039	    1388.710	       1.759	 36.610702	-121.085296                                                                                     
CA	06071	00277300	San Bernardino County	2035210	699637	51947229509	124028343	   20056.938	      47.888	 34.857220	-116.181197                                                                           
