id,placeholder_id
ocd-division/country:us/state:nh/place:epsom,85
ocd-division/country:us/state:nh/place:errol,86
ocd-division/country:us/state:nh/place:exeter,87
ocd-division/country:us/state:nh/place:farmington,88
ocd-division/country:us/state:nh/place:fitzwilliam,89
ocd-division/country:us/state:nh/place:francestown,90
ocd-division/country:us/state:nh/place:franconia,91
ocd-division/country:us/state:nh/place:franklin/ward:1,92
ocd-division/country:us/state:nh/place:franklin/ward:2,93
ocd-division/country:us/state:nh/place:franklin/ward:3,94
ocd-division/country:us/state:nh/place:freedom,95
ocd-division/country:us/state:nh/place:fremont,96
ocd-division/country:us/state:nh/place:gilford,97
ocd-division/country:us/state:nh/place:gilmanton,98
ocd-division/country:us/state:nh/place:gilsum,99
ocd-division/country:us/state:nh/place:goffstown,100
ocd-division/country:us/state:nh/place:gorham,101
ocd-division/country:us/state:nh/place:goshen,102
ocd-division/country:us/state:nh/place:grafton,103
ocd-division/country:us/state:nh/place:grantham,104
ocd-division/country:us/state:nh/place:greenfield,105
ocd-division/country:us/state:nh/place:greenland,106
ocd-division/country:us/state:nh/place:greenville,107
ocd-division/country:us/state:nh/place:groton,108
ocd-division/country:us/state:nh/place:hampstead,109
ocd-division/country:us/state:nh/place:hampton,110
ocd-division/country:us/state:nh/place:hampton_falls,111
ocd-division/country:us/state:nh/place:hancock,112
ocd-division/country:us/state:nh/place:hanover,113
ocd-division/country:us/state:nh/place:harrisville,114
ocd-division/country:us/state:nh/place:hart~s_location,115
ocd-division/country:us/state:nh/place:haverhill,116
ocd-division/country:us/state:nh/place:hebron,117
ocd-division/country:us/state:nh/place:henniker,118
ocd-division/country:us/state:nh/place:hill,119
ocd-division/country:us/state:nh/place:hillsborough,120
ocd-division/country:us/state:nh/place:hinsdale,121
ocd-division/country:us/state:nh/place:holderness,122
ocd-division/country:us/state:nh/place:hollis,123
ocd-division/country:us/state:nh/place:hooksett,124
ocd-division/country:us/state:nh/place:hopkinton,125
ocd-division/country:us/state:nh/place:hudson,126
ocd-division/country:us/state:nh/place:jackson,127
ocd-division/country:us/state:nh/place:jaffrey,128
ocd-division/country:us/state:nh/place:jefferson,129
ocd-division/country:us/state:nh/place:keene/ward:1,130
ocd-division/country:us/state:nh/place:keene/ward:2,131
ocd-division/country:us/state:nh/place:keene/ward:3,132
ocd-division/country:us/state:nh/place:keene/ward:4,133
ocd-division/country:us/state:nh/place:keene/ward:5,134
ocd-division/country:us/state:nh/place:kensington,135
ocd-division/country:us/state:nh/place:kingston,136
ocd-division/country:us/state:nh/place:laconia,137
ocd-division/country:us/state:nh/place:lancaster,138
ocd-division/country:us/state:nh/place:landaff,139
ocd-division/country:us/state:nh/place:langdon,140
ocd-division/country:us/state:nh/place:lebanon/ward:1,141
ocd-division/country:us/state:nh/place:lebanon/ward:2,142
ocd-division/country:us/state:nh/place:lebanon/ward:3,143
ocd-division/country:us/state:nh/place:lee,144
ocd-division/country:us/state:nh/place:lempster,145
ocd-division/country:us/state:nh/place:lincoln,146
ocd-division/country:us/state:nh/place:lisbon,147
ocd-division/country:us/state:nh/place:litchfield,148
ocd-division/country:us/state:nh/place:littleton,149
ocd-division/country:us/state:nh/place:londonderry,150
ocd-division/country:us/state:nh/place:loudon,151
ocd-division/country:us/state:nh/place:lyman,152
ocd-division/country:us/state:nh/place:lyme,153
ocd-division/country:us/state:nh/place:lyndeborough,154
ocd-division/country:us/state:nh/place:madbury,155
ocd-division/country:us/state:nh/place:madison,156
ocd-division/country:us/state:nh/place:manchester/ward:1,157
ocd-division/country:us/state:nh/place:manchester/ward:2,158
ocd-division/country:us/state:nh/place:manchester/ward:3,159
ocd-division/country:us/state:nh/place:manchester/ward:4,160
ocd-division/country:us/state:nh/place:manchester/ward:5,161
ocd-division/country:us/state:nh/place:manchester/ward:6,162
ocd-division/country:us/state:nh/place:manchester/ward:7,163
ocd-division/country:us/state:nh/place:manchester/ward:8,164
ocd-division/country:us/state:nh/place:manchester/ward:9,165
ocd-division/country:us/state:nh/place:manchester/ward:10,166
ocd-division/country:us/state:nh/place:manchester/ward:11,167
ocd-division/country:us/state:nh/place:manchester/ward:12,168
ocd-division/country:us/state:nh/place:marlborough,169
ocd-division/country:us/state:nh/place:marlow,170
ocd-division/country:us/state:nh/place:mason,171
ocd-division/country:us/state:nh/place:meredith,172
ocd-division/country:us/state:nh/place:merrimack,173
ocd-division/country:us/state:nh/place:middleton,174
ocd-division/country:us/state:nh/place:milan,175
ocd-division/country:us/state:nh/place:milford,176
ocd-division/country:us/state:nh/place:milton,177
ocd-division/country:us/state:nh/place:monroe,178
ocd-division/country:us/state:nh/place:mont_vernon,179
ocd-division/country:us/state:nh/place:moultonborough,180
ocd-division/country:us/state:nh/place:nashua/ward:1,181
ocd-division/country:us/state:nh/place:nashua/ward:2,182
ocd-division/country:us/state:nh/place:nashua/ward:3,183
ocd-division/country:us/state:nh/place:nashua/ward:4,184
ocd-division/country:us/state:nh/place:nashua/ward:5,185
ocd-division/country:us/state:nh/place:nashua/ward:6,186
ocd-division/country:us/state:nh/place:nashua/ward:7,187
ocd-division/country:us/state:nh/place:nashua/ward:8,188
ocd-division/country:us/state:nh/place:nashua/ward:9,189
ocd-division/country:us/state:nh/place:nelson,190
ocd-division/country:us/state:nh/place:new_boston,191
ocd-division/country:us/state:nh/place:new_castle,192
ocd-division/country:us/state:nh/place:new_durham,193
ocd-division/country:us/state:nh/place:new_hampton,194
ocd-division/country:us/state:nh/place:new_ipswich,195
ocd-division/country:us/state:nh/place:new_london,196
ocd-division/country:us/state:nh/place:newbury,197
ocd-division/country:us/state:nh/place:newfields,198
ocd-division/country:us/state:nh/place:newington,199
ocd-division/country:us/state:nh/place:newmarket,200
ocd-division/country:us/state:nh/place:newport,201
ocd-division/country:us/state:nh/place:newton,202
ocd-division/country:us/state:nh/place:north_hampton,203
ocd-division/country:us/state:nh/place:northfield,204
ocd-division/country:us/state:nh/place:northumberland,205
ocd-division/country:us/state:nh/place:northwood,206
ocd-division/country:us/state:nh/place:nottingham,207
ocd-division/country:us/state:nh/place:orange,208
ocd-division/country:us/state:nh/place:orford,209
ocd-division/country:us/state:nh/place:ossipee,210
ocd-division/country:us/state:nh/place:pelham,211
ocd-division/country:us/state:nh/place:pembroke,212
ocd-division/country:us/state:nh/place:peterborough,213
ocd-division/country:us/state:nh/place:piermont,214
ocd-division/country:us/state:nh/place:pittsburg,215
ocd-division/country:us/state:nh/place:pittsfield,216
ocd-division/country:us/state:nh/place:plainfield,217
ocd-division/country:us/state:nh/place:plaistow,218
ocd-division/country:us/state:nh/place:plymouth,219
ocd-division/country:us/state:nh/place:portsmouth/ward:1,220
ocd-division/country:us/state:nh/place:portsmouth/ward:2,221
ocd-division/country:us/state:nh/place:portsmouth/ward:3,222
ocd-division/country:us/state:nh/place:portsmouth/ward:4,223
ocd-division/country:us/state:nh/place:portsmouth/ward:5,224
ocd-division/country:us/state:nh/place:randolph,225
ocd-division/country:us/state:nh/place:raymond,226
ocd-division/country:us/state:nh/place:richmond,227
ocd-division/country:us/state:nh/place:rindge,228
ocd-division/country:us/state:nh/place:rochester/ward:1,229
ocd-division/country:us/state:nh/place:rochester/ward:2,230
ocd-division/country:us/state:nh/place:rochester/ward:3,231
ocd-division/country:us/state:nh/place:rochester/ward:4,232
ocd-division/country:us/state:nh/place:rochester/ward:5,233
ocd-division/country:us/state:nh/place:rochester/ward:6,234
ocd-division/country:us/state:nh/place:rollinsford,235
ocd-division/country:us/state:nh/place:roxbury,236
ocd-division/country:us/state:nh/place:rumney,237
ocd-division/country:us/state:nh/place:rye,238
ocd-division/country:us/state:nh/place:salem,239
ocd-division/country:us/state:nh/place:salisbury,240
ocd-division/country:us/state:nh/place:sanbornton,241
ocd-division/country:us/state:nh/place:sandown,242
ocd-division/country:us/state:nh/place:sandwich,243
ocd-division/country:us/state:nh/place:seabrook,244
ocd-division/country:us/state:nh/place:sharon,245
ocd-division/country:us/state:nh/place:shelburne,246
ocd-division/country:us/state:nh/place:somersworth/ward:1,247
ocd-division/country:us/state:nh/place:somersworth/ward:2,248
ocd-division/country:us/state:nh/place:somersworth/ward:3,249
ocd-division/country:us/state:nh/place:somersworth/ward:4,250
ocd-division/country:us/state:nh/place:somersworth/ward:5,251
ocd-division/country:us/state:nh/place:south_hampton,252
ocd-division/country:us/state:nh/place:springfield,253
ocd-division/country:us/state:nh/place:stark,254
ocd-division/country:us/state:nh/place:stewartstown,255
ocd-division/country:us/state:nh/place:stoddard,256
ocd-division/country:us/state:nh/place:strafford,257
ocd-division/country:us/state:nh/place:stratford,258
ocd-division/country:us/state:nh/place:stratham,259
ocd-division/country:us/state:nh/place:sugar_hill,260
ocd-division/country:us/state:nh/place:sullivan,261
ocd-division/country:us/state:nh/place:sunapee,262
ocd-division/country:us/state:nh/place:surry,263
ocd-division/country:us/state:nh/place:sutton,264
ocd-division/country:us/state:nh/place:swanzey,265
ocd-division/country:us/state:nh/place:tamworth,266
ocd-division/country:us/state:nh/place:temple,267
ocd-division/country:us/state:nh/place:thornton,268
ocd-division/country:us/state:nh/place:tilton,269
ocd-division/country:us/state:nh/place:troy,270
ocd-division/country:us/state:nh/place:tuftonboro,271
ocd-division/country:us/state:nh/place:unity,272
ocd-division/country:us/state:nh/place:wakefield,273
ocd-division/country:us/state:nh/place:walpole,274
ocd-division/country:us/state:nh/place:warner,275
ocd-division/country:us/state:nh/place:warren,276
ocd-division/country:us/state:nh/place:washington,277
ocd-division/country:us/state:nh/place:waterville_valley,278
ocd-division/country:us/state:nh/place:weare,279
ocd-division/country:us/state:nh/place:webster,280
ocd-division/country:us/state:nh/place:wentworth,281
ocd-division/country:us/state:nh/place:westmoreland,282
ocd-division/country:us/state:nh/place:whitefield,283
ocd-division/country:us/state:nh/place:wilmot,284
ocd-division/country:us/state:nh/place:wilton,285
ocd-division/country:us/state:nh/place:winchester,286
ocd-division/country:us/state:nh/place:windham,287
ocd-division/country:us/state:nh/place:windsor,288
ocd-division/country:us/state:nh/place:wolfeboro,289
ocd-division/country:us/state:nh/place:woodstock,290

